# 초기 형식으로 작성된 기록의 목차 정보입니다.
# 본문 형식이 지금과 달라 헤더에 단계·주제를 넣지 않고, 당시 형식을 그대로 보존합니다.
# 열 구분은 탭이며 날짜	단계	주제 순서입니다.
#
2026-08-05	AI	생성형 AI·LLM, 프롬프트 구성 및 책임 있는 AI 활용
2026-08-06	Git / Python	브랜치·병합·Rebase·충돌, uv 환경 및 주피터 연동
2026-08-07	Python	변수·자료형·형변환·연산자·f-string 및 실습 질문
2026-08-10	Python / Tools	딕셔너리·집합·조건문, 개발 환경 및 프로젝트 기획
2026-08-11	Python	반복문·함수·매개변수, 데이터프레임 및 개발 생태계
2026-08-12	Python	600줄 퀀트 백테스팅 엔진 7모듈 리팩토링, `uv` 의존성 도입, 한글 인코딩(`utf-8-sig`) 해결
2026-08-13	Python / OOP	예외 처리(`try-except`), 비주얼 디버거(`Debug Cell`), 클래스(`OOP`), 퀀트 엔진 디버깅 및 한글 종목명 매핑
2026-08-14	Python / OOP	OOP 매직 메서드(`__str__`), `iloc[0]` 파이프라인 인덱싱, 조건식 단락 평가 최적화, Git Detached HEAD 복구
2026-08-19	SQL / Quant	RDBMS 데이터 무결성·정규화(1NF~3NF)·ERD, PostgreSQL/DBeaver 데이터 파이프라인, Streamlit 퀀트 대시보드 및 로컬 Ollama AI 연동
2026-08-20	SQL / Quant	SQL 논리적 실행 순서 및 `WHERE` vs `HAVING` 서브쿼리 등가성 검증, `UNION`/`JOIN` 참조 무결성 분석, Stock 퀀트 플랫폼 모노레포 물리 통합(Phase 2)
2026-08-25	Pandas / EDA / SQL	Pandas 다중 집계(`agg`/`pivot_table`), `str.split`/`rrule` 시계열 생성, Git 스냅샷 원리, EDA 이상치(IQR vs 도메인) 분석, SQL `LEFT JOIN` 무결성 검증
